master_name,duplicate_name,new_booth_num,duplicate_booth_num,name_jw_score,name_lv_score,booth_score,average_score
AJAB,6,313.5,71.0,0.0,0.0,0.0,0.0
AJANIYA,6,294.0,71.0,0.0,0.0,0.0,0.0
AJANIYA,AJAB,294.0,313.5,0.80833,0.42857,0.00053,0.41
AKAUNA,6,109.5,71.0,0.0,0.0,0.0,0.0
AKAUNA,AJAB,109.5,313.5,0.61111,0.33333,0.0,0.31
AKAUNA,AJANIYA,109.5,294.0,0.77143,0.42857,0.0,0.4
ALAMPUR,6,57.0,71.0,0.0,0.0,0.03492,0.01
ALAMPUR,AJAB,57.0,313.5,0.59524,0.28571,0.0,0.29
ALAMPUR,AJANIYA,57.0,294.0,0.52381,0.28571,0.0,0.27
ALAMPUR,AKAUNA,57.0,109.5,0.64286,0.28571,0.0,0.31
AURANGABAD,6,178.32075,71.0,0.0,0.0,0.0,0.0
AURANGABAD,AJAB,178.32075,313.5,0.68333,0.3,0.0,0.33
AURANGABAD,AJANIYA,178.32075,294.0,0.65714,0.4,0.0,0.35
AURANGABAD,AKAUNA,178.32075,109.5,0.74,0.3,0.0,0.35
AURANGABAD,ALAMPUR,178.32075,57.0,0.57381,0.2,0.0,0.26
AWAN,6,34.0,71.0,0.0,0.0,0.0,0.0
AWAN,AJAB,34.0,313.5,0.66667,0.5,0.0,0.39
AWAN,AJANIYA,34.0,294.0,0.75357,0.42857,0.0,0.39
AWAN,AKAUNA,34.0,109.5,0.775,0.5,0.0,0.42
AWAN,ALAMPUR,34.0,57.0,0.59524,0.28571,2e-05,0.29
AWAN,AURANGABAD,34.0,178.32075,0.68333,0.3,0.0,0.33
BABHANADI,6,24.0,71.0,0.0,0.0,0.0,0.0
BABHANADI,AJAB,24.0,313.5,0.58333,0.22222,0.0,0.27
BABHANADI,AJANIYA,24.0,294.0,0.67196,0.33333,0.0,0.34
BABHANADI,AKAUNA,24.0,109.5,0.7037,0.33333,0.0,0.35
BABHANADI,ALAMPUR,24.0,57.0,0.50265,0.22222,0.0,0.24
BABHANADI,AURANGABAD,24.0,178.32075,0.68519,0.3,0.0,0.33
BABHANADI,AWAN,24.0,34.0,0.69444,0.33333,0.25703,0.43
BADAVA,6,39.0,71.0,0.0,0.0,0.0,0.0
BADAVA,AJAB,39.0,313.5,0.61111,0.33333,0.0,0.31
BADAVA,AJANIYA,39.0,294.0,0.64286,0.28571,0.0,0.31
